,idTurma,matricula,ano,idAluno,notaProva1,questoesFeitasProva1,quantidadeProva1,tituloProva1,notaProva2,questoesFeitasProva2,quantidadeProva2,tituloProva2,mediaProvas,situacao,qsub1,qsub2,qsub3,qsub4,qsub5,qsubp1,qsubp2,totalsub,igualACeml123,igualACeml45
106,5add8502651f043c57723147,20170183134.0,2018.1,5a9d53396e994c04109f039b,20.0,2.0,5.0,Prova 1 - Turma 2C e 2D,20.0,4.0,5.0,Prova 2 - Turmas 2C e 2D - 2018.1,20.0,0,8,7,7,5,10,22,15,37,19,15
107,5add8502651f043c57723147,20170033075.0,2018.1,5a9d534be293ba040bc7da3e,13.0,3.0,5.0,Prova 1 - Turma 2C e 2D,66.66666666666667,3.0,3.0,Prova 2 - Turma A e B - 2018.2,39.833333333333336,0,5,6,3,3,3,14,6,20,13,6
108,5ba9947f463cb731d4510cda,20170033075.0,2018.2,5a9d534be293ba040bc7da3e,46.66666666666666,3.0,3.0,Prova 1 - T02 - 2018.2,66.66666666666667,3.0,3.0,Prova 2 - Turma A e B - 2018.2,56.666666666666664,1,5,6,3,3,3,14,6,20,13,6
109,5add8502651f043c57723147,20170115484.0,2018.1,5a9d532ea6925304242372f3,29.0,3.0,5.0,Prova 1 - Turma 2C e 2D,0.0,3.0,5.0,Prova 2 - Turmas 2C e 2D - 2018.1,14.5,0,3,5,4,1,5,12,6,18,12,4
110,5add8502651f043c57723147,20170182997.0,2018.1,5a9d5324a6925304242372f2,20.0,5.0,5.0,Prova 1 - Turma 2C e 2D,35.0,5.0,5.0,Prova 2 - Turmas 2C e 2D - 2018.1,27.5,0,3,4,4,7,7,11,14,25,11,10
111,5add8502651f043c57723147,20170138003.0,2018.1,5aa68f9aa7761c041bc627bc,12.0,3.0,5.0,Prova 1 - Turma 2C e 2D,20.0,3.0,5.0,Prova 2 - Turmas 2C e 2D - 2018.1,16.0,0,2,12,3,2,3,17,5,22,14,5
112,5add8502651f043c57723147,20170117380.0,2018.1,5a9d538fe293ba040bc7da45,35.0,5.0,5.0,Prova 1 - Turma 2C e 2D,60.0,3.0,5.0,Prova 2 - Turmas 2C e 2D - 2018.1,47.5,0,6,9,8,5,2,23,7,30,21,7
113,5add8502651f043c57723147,20170037870.0,2018.1,5a9d5388e293ba040bc7da44,39.0,5.0,5.0,Prova 1 - Turma 2C e 2D,70.0,5.0,5.0,Prova 2 - Turmas 2C e 2D - 2018.1,54.5,1,7,12,11,5,3,30,8,38,23,8
114,5add8502651f043c57723147,20170043518.0,2018.1,5a9d5383e293ba040bc7da43,100.0,5.0,5.0,Prova 1 - Turma 2C e 2D,100.0,5.0,5.0,Prova 2 - Turmas 2C e 2D - 2018.1,100.0,1,10,12,13,19,14,35,33,68,33,33
115,5add8502651f043c57723147,20170147361.0,2018.1,5a9d53279d8aa6041b5634d7,41.0,5.0,5.0,Prova 1 - Turma 2C e 2D,45.0,4.0,5.0,Prova 2 - Turmas 2C e 2D - 2018.1,43.0,0,4,22,11,4,2,37,6,43,30,6
116,5add8502651f043c57723147,20170039918.0,2018.1,5a9d535c9d8aa6041b5634da,75.0,4.0,5.0,Prova 1 - Turma 2C e 2D,95.0,5.0,5.0,Prova 2 - Turmas 2C e 2D - 2018.1,85.0,1,13,11,10,8,4,34,12,46,28,11
117,5add8502651f043c57723147,20160115720.0,2018.1,5a9d53686e994c04109f039e,80.0,5.0,5.0,Prova 1 - Turma 2C e 2D,0.0,0.0,0.0,0,40.0,0,7,14,12,21,5,33,26,59,33,26
118,5add8502651f043c57723147,20170138442.0,2018.1,5a9d533fa6925304242372f4,13.0,3.0,5.0,Prova 1 - Turma 2C e 2D,0.0,2.0,5.0,Prova 2 - Turmas 2C e 2D - 2018.1,6.5,0,24,16,12,7,16,52,23,75,48,22
119,5add8502651f043c57723147,20170138442.0,2018.1,5a9d533fa6925304242372f4,13.0,3.0,5.0,Prova 1 - Turma 2C e 2D,100.0,2.0,2.0,Prova de Laboratório 2 : Turma 2D : 2019.1,56.5,1,24,16,12,7,16,52,23,75,48,22
120,5b7b03c9b50b336749898175,20170138442.0,2018.2,5a9d533fa6925304242372f4,0.0,2.0,4.0,Prova 1 - Turma 3D - 2018.2,0.0,2.0,5.0,Prova 2 - Turmas 2C e 2D - 2018.1,0.0,0,24,16,12,7,16,52,23,75,48,22
121,5b7b03c9b50b336749898175,20170138442.0,2018.2,5a9d533fa6925304242372f4,0.0,2.0,4.0,Prova 1 - Turma 3D - 2018.2,100.0,2.0,2.0,Prova de Laboratório 2 : Turma 2D : 2019.1,50.0,1,24,16,12,7,16,52,23,75,48,22
122,5ca4b931b50b333d9c9163df,20170138442.0,2019.1,5a9d533fa6925304242372f4,40.0,3.0,3.0,Prova de Laboratório 1 : Turma 2D : 2019.1,0.0,2.0,5.0,Prova 2 - Turmas 2C e 2D - 2018.1,20.0,0,24,16,12,7,16,52,23,75,48,22
123,5ca4b931b50b333d9c9163df,20170138442.0,2019.1,5a9d533fa6925304242372f4,40.0,3.0,3.0,Prova de Laboratório 1 : Turma 2D : 2019.1,100.0,2.0,2.0,Prova de Laboratório 2 : Turma 2D : 2019.1,70.0,1,24,16,12,7,16,52,23,75,48,22
124,5add8502651f043c57723147,20180031913.0,2018.1,5a9d5316e293ba040bc7da3c,92.0,5.0,5.0,Prova 1 - Turma 2C e 2D,100.0,5.0,5.0,Prova 2 - Turmas 2C e 2D - 2018.1,96.0,1,8,14,14,17,12,36,29,65,36,29
125,5add8502651f043c57723147,20170183205.0,2018.1,5a9d535ae293ba040bc7da40,8.0,3.0,5.0,Prova 1 - Turma 2C e 2D,70.0,5.0,5.0,Prova 2 - Turmas 2C e 2D - 2018.1,39.0,0,2,7,10,3,3,19,6,25,17,6
126,5add873c651f043c5772314d,20170042815.0,2018.1,5a9d536ee293ba040bc7da41,95.0,5.0,5.0,Prova 1 - Turma 2C e 2D,95.0,5.0,5.0,Prova 2 - Turmas 2C e 2D - 2018.1,95.0,1,8,6,4,10,8,18,18,36,18,15
127,5add873c651f043c5772314d,2016012759.0,2018.1,5aa68f64baa69604102c7427,40.0,4.0,5.0,Prova 1 - Turma 2C e 2D,0.0,0.0,0.0,0,20.0,0,9,12,9,4,1,30,5,35,25,5
128,5add873c651f043c5772314d,20170138630.0,2018.1,5aa68f766a77db040b660fe1,5.0,5.0,5.0,Prova 1 - Turma 2C e 2D,0.0,3.0,5.0,Prova 2 - Turmas 2C e 2D - 2018.1,2.5,0,4,7,10,7,16,21,23,44,19,22
